S.No,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
1,Brenden Aaronson,USA,MFFW,Leeds United,Premier League,21,2000,7,7,579,6.4,0.16,1.09,0.47,42.9,0.14,0.33,19.3,0,0,0,22,30.2,73.1,320.9,82.8,13.1,16.1,81.6,5.94,7.81,76,1.88,3.59,52.2,0.16,1.56,0.63,0.63,0.31,1.41,30.2,26.7,3.44,0.31,0,5,0.63,1.25,1.72,0.47,1.25,0,21.7,3.91,4.53,3.59,24.1,0.94,0.63,0.47,22,0,0.16,1.41,1.72,2.5,1.56,0.63,0.16,0,0,0.16,0.31,0.16,0,0,0,0,0.16,1.72,1.09,0.47,0.78,0.47,0.78,2.81,27.8,2.03,20.2,6.72,33.3,3.75,8.59,7.81,1.56,0,0,1.56,0.16,1.88,0.16,0,44.8,0.31,4.38,21.4,22.3,3.44,41.7,1.88,3.28,57.1,2.19,0.63,32.3,157.8,86.1,4.06,1.56,0.16,2.34,4.38,45.3,31.7,70,7.5,0.31,0,0,1.09,2.34,0.47,1.25,1.09,0,0,0,5.78,0.47,2.66,15
2,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35,1987,10,10,900,10,0,0.8,0,0,0,0,12.7,0,0,0,28.5,35.3,80.7,597.7,229.1,8.2,9.5,86.3,16.1,17.9,89.9,3.8,6.8,55.9,0,0.1,2.8,0.1,0,3.4,35.3,31.5,3.8,2.6,0,3.7,1,0.2,0,0,0,0,25.2,3,7.1,21.4,10.3,1.9,0.4,0.2,28.5,0.1,0.9,0.7,0.8,0.7,0.3,0,0,0.1,0,0.3,0,0,0,0,0,0,0,2.4,1.3,1.1,1.1,0.2,0.9,1.5,60,0.6,14.1,5.4,38.3,6.7,6.7,0.7,1.8,0.5,0,1.3,2.4,4.8,2.6,0,46.3,6.9,24.5,22.1,2.5,1.3,42.7,0.3,0.7,42.9,0.4,0,25.2,146.1,81.9,2,0.3,0,0.2,1.2,24.8,24.2,97.6,0.1,0.1,0,0,1.5,0.5,0,0.2,1.3,0,0,0,8.5,2,0.7,74.1
3,Himad Abdelli,FRA,MF,Angers,Ligue 1,22,1999,3,0,27,0.3,0,0,0,0,0,0,0,0,0,0,80,86.7,92.3,1520,306.7,33.3,36.7,90.9,36.7,36.7,100,10,13.3,75,0,3.33,13.3,0,0,13.3,86.7,86.7,0,0,0,13.3,3.33,0,0,0,0,0,86.7,0,0,13.3,73.3,0,0,0,80,0,0,0,0,3.33,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6.67,3.33,0,0,0,0,0,0,0,0,86.7,0,6.67,60,36.7,3.33,86.7,6.67,6.67,100,6.67,0,80,533.3,210,20,6.67,0,0,0,90,80,88.9,13.3,0,0,0,0,0,0,0,0,0,0,0,10,0,3.33,0
4,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,9,9,810,9,0.11,0.67,0.11,16.7,0.17,1,22,0,0,0,57.6,62.4,92.2,998.3,191.8,26.4,28.1,94.1,24.9,26.3,94.5,5.56,7,79.4,0,0.44,3.89,0.56,0.11,3,62.4,60.9,1.56,1.56,0.11,6.67,0.89,0.44,0,0,0,0,53.8,4.33,4.33,6,53.2,2.44,0,0.44,57.6,0.33,0.44,0.78,0.33,0.89,0.89,0,0,0,0,0,0,0,0,0,0,0,0,2.11,1.11,0.67,1.22,0.22,0.78,1.56,50,0.78,19,5.11,26.9,6.78,9.67,2.56,1.11,0.33,0,0.78,2.56,4.67,1,0,72.2,2,14.4,50.1,11.3,1,71,0.89,1.22,72.7,0.89,0.11,51.6,227.7,98,3.33,0.56,0.11,0.89,1.33,58.7,55.6,94.7,1.78,0.11,0,0,2.78,1.44,0,0.44,1.11,0,0,0,7.89,0.44,0.78,36.4
5,Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,1993,9,9,783,8.7,0,0.34,0,0,0,0,22.4,0,0,0,38.9,43,90.4,677.4,213.6,18.3,18.9,97,15.7,17,92.6,4.14,5.52,75,0,0.57,3.56,0.11,0,2.76,43,42.3,0.69,0.69,0.23,7.93,0.57,0.11,0,0,0,0,35.7,4.02,3.22,2.76,39.1,0.8,0,0,38.9,0.11,0.46,0.46,0.57,1.15,0.92,0,0.11,0,0,0.11,0,0,0,0,0,0,0,3.68,2.41,2.87,0.8,0,1.03,3.68,28.1,2.64,17.4,4.94,28.5,10.1,6.44,0.8,1.38,0.23,0,1.15,1.38,5.06,1.84,0,53.7,4.14,21.1,29.3,5.17,0.11,53,0.46,0.8,57.1,0.57,0,36.6,113.2,54.5,1.72,0.57,0.11,0.8,0.92,38.5,37,96.1,0.46,0.23,0,0,1.38,1.15,0,0.11,2.41,0,0,0,6.67,0.57,0.34,62.5
6,Matthis Abline,FRA,FWMF,Rennes,Ligue 1,19,2003,6,0,84,0.9,1.11,6.67,2.22,33.3,0.17,0.5,10.9,0,0,0,5.56,13.3,41.7,82.2,28.9,4.44,5.56,80,1.11,2.22,50,0,0,0,0,1.11,0,1.11,1.11,0,13.3,13.3,0,0,0,4.44,0,3.33,0,0,0,0,10,2.22,1.11,4.44,7.78,0,0,0,5.56,0,0,0,3.33,5.56,1.11,0,0,3.33,0,1.11,1.11,0,0,0,0,0,1.11,2.22,1.11,0,0,2.22,1.11,2.22,50,1.11,18.9,7.78,41.2,0,8.89,10,1.11,0,0,1.11,2.22,4.44,1.11,0,41.1,1.11,3.33,12.2,27.8,16.7,41.1,0,1.11,0,1.11,0,18.9,71.1,52.2,3.33,1.11,1.11,11.1,0,43.3,25.6,59,11.1,0,0,0,2.22,1.11,1.11,3.33,1.11,0,0,0,6.67,3.33,2.22,60
7,Zakaria Aboukhlal,MAR,FWMF,Toulouse,Ligue 1,22,2000,10,9,772,8.6,0.35,2.09,0.7,33.3,0.17,0.5,16.6,0,0,0,17.6,25.7,68.3,226.7,59.2,12.9,15.1,85.4,4.19,6.74,62.1,0.12,0.93,12.5,0.35,0.7,0.58,0.35,0,1.51,25.7,24.9,0.81,0,0,3.95,0,1.63,0,0,0,0,19.9,3.49,2.33,16.7,7.21,0.58,0.81,0.12,17.6,0.12,0.7,1.63,1.86,1.86,0.93,0.12,0.12,0,0.58,0.12,0.35,0.35,0,0,0,0,0,1.63,1.05,0.7,0.35,0.58,0.47,1.98,23.5,1.51,15.1,3.6,23.8,3.49,5.35,6.28,0.81,0.12,0,0.7,1.16,2.79,0.7,0,40.1,1.05,6.05,14.9,21.4,5.93,39.3,1.51,3.84,39.4,1.86,0.35,29.9,139.8,75.3,5.35,1.05,1.86,2.91,1.28,42.4,29.3,69,7.91,0.12,0,0,1.51,1.4,0.47,1.63,1.05,0,0,0,4.19,0.7,1.4,33.3
8,Tammy Abraham,ENG,FW,Roma,Serie A,25,1997,8,7,593,6.6,0.3,3.64,1.52,41.7,0.08,0.2,11.6,0,0,0,13.3,18.3,72.7,204.4,48.2,7.12,8.79,81,5.3,7.58,70,0.61,0.91,66.7,0.15,1.21,1.36,0.3,0,1.67,18.3,16.5,1.82,0,0.3,6.21,0.15,0.15,0,0,0,0,10.2,3.94,4.24,1.36,10.8,2.12,0,1.36,13.3,0.15,0.45,0.61,0.45,3.79,1.97,0,0.3,1.21,0.3,0,0.45,0.15,0,0,0.3,0,0,0.45,0.3,0.3,0.15,0,0,0.45,0,0.45,9.24,1.82,19.7,1.06,2.88,5.3,0.91,0.61,0,0.3,0.45,0.91,0.76,0,32.7,0.76,2.42,17.9,13.3,6.36,30.9,0.61,2.42,25,1.06,0.45,16.2,73,44.2,2.42,0.45,0.91,3.03,1.67,44.8,25,55.7,6.36,0,0,0,1.36,1.97,0.45,0.15,0.3,0,0,0,2.88,3.64,2.12,63.2
9,Francesco Acerbi,ITA,DF,Inter,Serie A,34,1988,3,3,258,2.9,0,0.34,0,0,0,0,9,0,0,0,67.6,73.1,92.5,1439.7,384.1,19.3,21,91.8,37.9,40.3,94,9.66,11,87.5,0,0.34,3.1,0.34,0,3.45,73.1,70,3.1,1.72,0,8.28,1.72,0,0,0,0,0,60,3.1,10,55.2,12.4,2.76,0,0,67.6,0,1.38,0,0,1.03,1.03,0,0,0,0,0,0,0,0,0,0,0,0,1.72,1.03,1.72,0,0,0.34,0.34,100,0,3.79,1.72,45.5,2.41,1.38,0,1.38,0.34,0,1.03,0.69,2.41,4.14,0,82.4,12.1,45.5,41.7,1.03,0.34,79.3,0,0,0,0,0,55.2,357.2,163.4,3.1,0,0,0.34,0,61.7,61.7,100,0,0,0,0,1.03,0.69,0,0,1.03,0,0,0,8.62,4.48,0.69,86.7
10,Mohamed Achi,FRA,MF,Nantes,Ligue 1,20,2002,2,0,36,0.4,0,2.5,0,0,0,0,25,0,0,0,47.5,55,86.4,767.5,260,22.5,22.5,100,22.5,27.5,81.8,2.5,5,50,0,2.5,2.5,0,0,5,55,52.5,2.5,0,0,2.5,0,0,2.5,0,2.5,0,47.5,2.5,5,47.5,7.5,0,0,0,47.5,0,0,2.5,0,5,2.5,0,2.5,0,0,0,0,0,0,0,0,0,0,2.5,2.5,2.5,0,0,2.5,2.5,100,0,20,5,25,2.5,10,7.5,0,0,0,0,5,7.5,0,0,65,0,15,32.5,27.5,0,62.5,7.5,7.5,100,7.5,0,62.5,295,202.5,7.5,2.5,0,0,5,55,50,90.9,2.5,0,0,0,5,0,0,0,2.5,0,0,0,5,0,0,0
