,S.No,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
10,11,Marcos Acuña,ARG,DF,Sevilla,La Liga,30,1991,6,5,405,4.5,0.0,1.33,0.0,0.0,0.0,0.0,21.8,0.22,0.0,0.0,47.8,66.0,72.4,1033.3,460.4,19.3,23.3,82.9,16.7,21.8,76.5,11.1,18.7,59.5,0.0,2.89,2.22,1.56,0.89,4.67,66.0,51.1,14.9,3.33,0.0,3.78,6.0,4.67,3.11,1.11,1.78,0.0,30.7,13.3,22.0,46.0,7.78,2.67,8.44,0.0,47.8,0.22,2.0,2.89,2.0,3.78,2.0,1.56,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11,2.44,1.78,1.33,0.0,1.33,2.22,60.0,0.89,13.3,3.78,28.3,6.67,5.56,1.11,1.33,0.44,0.22,0.89,1.56,4.67,1.78,0.0,75.3,3.11,24.4,33.1,20.4,1.11,61.1,1.33,2.0,66.7,1.33,0.22,43.3,183.6,93.8,4.0,1.56,0.0,1.11,0.22,47.3,44.0,93.0,2.67,0.67,0.22,0.0,2.44,2.0,0.0,4.67,2.44,0.0,0.22,0.0,8.44,2.0,0.89,69.2
24,25,Álvaro Aguado,ESP,MF,Valladolid,La Liga,26,1996,6,5,395,4.4,0.0,0.45,0.0,0.0,0.0,0.0,26.8,0.0,0.0,0.0,39.8,47.3,84.1,825.0,182.3,14.5,16.6,87.7,16.1,18.9,85.5,8.64,10.2,84.4,0.0,2.05,3.86,0.45,0.23,3.18,47.3,45.7,1.59,1.36,0.23,3.41,3.18,0.68,0.23,0.0,0.23,0.0,31.8,5.0,10.5,4.09,39.8,2.73,0.0,0.45,39.8,0.0,0.68,0.68,0.91,4.09,4.09,0.0,0.0,0.0,0.0,0.0,0.68,0.68,0.0,0.0,0.0,0.0,0.0,1.14,0.91,0.23,0.91,0.0,0.23,0.45,50.0,0.23,6.82,3.18,46.7,1.82,4.32,0.68,1.59,0.45,0.0,1.14,1.14,2.27,0.91,0.0,54.3,1.82,13.6,32.5,13.2,0.91,52.7,0.23,0.68,33.3,0.23,0.0,36.1,266.6,118.0,5.0,1.36,0.23,0.45,0.45,38.9,36.8,94.7,2.05,0.23,0.0,0.0,0.45,1.36,0.0,0.68,0.91,0.0,0.23,0.0,10.2,0.23,0.68,25.0
29,30,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,27,1995,7,7,630,7.0,0.0,0.29,0.0,0.0,0.0,0.0,24.1,0.0,0.0,0.0,43.7,51.9,84.3,996.9,318.0,11.9,13.0,91.2,20.9,23.0,90.7,10.9,15.0,72.4,0.0,0.14,2.86,0.29,0.14,2.86,51.9,51.1,0.71,0.71,0.0,4.86,0.71,0.14,0.0,0.0,0.0,0.0,40.3,2.86,8.71,9.29,38.4,2.14,0.0,0.71,43.7,0.43,1.43,0.86,0.71,0.43,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,1.29,1.57,0.29,0.0,0.57,1.43,40.0,0.86,8.0,3.0,37.5,4.57,3.43,0.0,1.43,0.57,0.0,0.86,0.86,2.71,3.43,0.14,58.4,9.0,33.9,26.9,1.57,0.29,57.9,0.14,0.14,100.0,0.14,0.0,39.0,222.3,120.4,3.14,0.43,0.0,0.0,0.29,39.9,39.4,98.9,0.0,0.14,0.0,0.0,0.86,0.29,0.0,0.14,1.29,0.0,0.0,0.0,9.86,1.43,2.0,41.7
37,38,Sergio Akieme,ESP,DF,Almería,La Liga,24,1997,8,8,720,8.0,0.0,0.88,0.25,28.6,0.0,0.0,24.8,0.0,0.0,0.0,32.9,41.6,79.0,606.9,251.8,14.9,17.1,86.9,13.4,15.8,84.9,4.13,7.63,54.1,0.0,0.5,2.0,1.0,0.75,2.13,41.6,32.4,9.25,0.88,0.0,5.5,1.5,2.25,0.0,0.0,0.0,0.0,21.8,10.1,9.75,29.3,2.13,1.5,8.38,0.0,32.9,0.5,0.75,1.13,1.13,1.0,0.88,0.0,0.13,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,2.13,1.63,1.0,1.0,0.13,0.5,1.0,50.0,0.5,8.75,3.63,41.4,3.88,3.88,1.0,1.75,0.0,0.0,1.75,0.63,2.75,2.13,0.0,51.0,4.0,16.4,25.4,12.9,0.88,42.0,1.0,1.38,72.7,1.0,0.0,30.9,207.3,120.3,5.0,1.75,0.63,0.63,0.63,30.4,26.9,88.5,1.25,0.25,0.0,0.0,0.88,1.0,0.0,2.25,1.63,0.0,0.0,0.0,7.63,0.5,1.0,33.3
39,40,Paul Akouokou,CIV,MF,Betis,La Liga,24,1997,4,1,117,1.3,0.0,0.77,0.77,100.0,0.0,0.0,23.0,0.0,0.0,0.0,46.9,49.2,95.3,944.6,176.9,20.0,20.8,96.3,13.8,13.8,100.0,13.1,13.8,94.4,0.0,0.0,5.38,0.77,0.0,2.31,49.2,46.9,2.31,2.31,0.0,4.62,3.08,0.0,0.0,0.0,0.0,0.0,41.5,2.31,5.38,6.92,42.3,0.0,0.0,0.0,46.9,0.0,0.0,0.77,0.77,0.77,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,2.31,1.54,1.54,0.0,2.31,3.08,75.0,0.77,16.2,3.08,19.0,9.23,6.92,0.0,1.54,0.0,0.0,1.54,1.54,4.62,0.77,0.0,58.5,4.62,12.3,40.0,6.92,0.0,56.2,0.0,0.77,0.0,0.0,0.0,36.9,96.2,24.6,0.77,0.0,0.0,0.77,0.0,40.8,40.0,98.1,0.0,0.0,0.0,0.0,0.77,0.77,0.0,0.0,2.31,0.0,0.0,0.0,9.23,0.0,1.54,0.0
42,43,David Alaba,AUT,DF,Real Madrid,La Liga,30,1992,8,7,633,7.0,0.14,1.29,0.14,11.1,0.11,1.0,20.1,0.57,0.0,0.0,53.4,60.4,88.4,926.1,302.1,27.1,28.1,96.4,20.1,22.1,91.0,5.29,8.14,64.9,0.43,1.43,4.43,0.57,0.14,3.0,60.4,55.3,5.14,1.71,0.29,4.0,1.0,0.86,0.29,0.29,0.0,0.0,48.0,5.71,6.71,48.9,7.0,1.0,3.14,0.0,53.4,0.29,0.86,0.57,0.86,1.86,1.43,0.29,0.0,0.14,0.0,0.0,0.57,0.43,0.0,0.0,0.14,0.0,0.0,0.57,0.57,0.29,0.29,0.0,0.29,0.43,66.7,0.14,7.14,2.14,30.0,1.57,3.71,1.86,0.86,0.29,0.0,0.57,1.29,1.86,1.57,0.0,66.9,5.86,26.0,30.6,15.3,2.0,61.1,0.14,0.29,50.0,0.14,0.0,46.1,214.7,122.3,4.86,2.14,0.14,0.71,0.43,51.1,49.6,96.9,2.57,0.29,0.0,0.0,0.43,0.14,0.0,0.86,0.57,0.0,0.0,0.0,6.43,0.43,0.57,42.9
43,44,Tomás Alarcón,CHI,MF,Cádiz,La Liga,23,1999,4,2,223,2.5,0.0,0.8,0.4,50.0,0.0,0.0,36.0,0.0,0.0,0.0,30.0,38.0,78.9,768.8,176.8,7.2,9.2,78.3,12.8,16.0,80.0,9.2,12.0,76.7,0.0,0.4,3.2,0.4,0.0,4.0,38.0,34.8,3.2,2.4,0.0,5.2,4.0,0.8,0.8,0.4,0.4,0.0,23.2,3.6,11.2,1.2,32.8,2.4,0.0,0.4,30.0,0.0,0.8,0.4,0.4,0.8,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.8,0.4,0.4,0.8,0.4,0.4,100.0,0.0,14.8,4.0,27.0,1.6,7.2,6.0,0.4,0.0,0.0,0.4,1.6,3.2,0.8,0.0,46.4,1.2,11.6,23.2,13.2,0.8,43.2,0.4,0.8,50.0,0.4,0.0,26.8,95.2,47.2,2.4,0.4,0.0,0.4,0.8,31.6,30.0,94.9,2.4,0.8,0.4,0.4,1.6,1.6,0.0,0.8,0.8,0.0,0.0,0.0,7.6,1.6,0.8,66.7
45,46,Jordi Alba,ESP,DF,Barcelona,La Liga,33,1989,4,2,206,2.3,0.0,0.43,0.0,0.0,0.0,0.0,27.1,0.0,0.0,0.0,87.0,97.8,88.9,1446.5,391.3,44.8,47.8,93.6,32.2,33.9,94.9,6.96,11.7,59.3,0.0,0.87,12.2,0.87,0.0,5.65,97.8,85.7,12.2,4.35,0.0,3.91,0.87,2.17,0.0,0.0,0.0,0.0,73.0,12.6,12.2,75.2,10.4,2.61,7.83,0.43,87.0,0.0,0.87,0.87,1.3,1.74,1.3,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.87,0.43,0.0,0.43,0.87,50.0,0.43,6.52,2.61,40.0,3.91,1.74,0.87,1.74,0.0,0.0,1.74,0.43,1.74,1.74,0.0,104.3,2.61,22.6,65.7,21.3,1.74,92.6,0.0,0.87,0.0,0.0,0.0,73.0,284.8,145.2,5.65,1.3,0.0,0.0,0.43,77.8,74.3,95.5,1.3,0.0,0.0,0.0,0.43,0.43,0.43,2.17,1.3,0.0,0.0,0.0,12.2,1.3,0.87,60.0
47,48,Raúl Albiol,ESP,DF,Villarreal,La Liga,37,1985,7,7,630,7.0,0.0,0.14,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,55.4,61.7,89.8,1327.9,353.4,9.57,10.4,91.8,31.1,32.4,96.0,13.9,17.7,78.2,0.0,0.0,2.29,0.29,0.0,3.43,61.7,60.1,1.57,1.43,0.0,4.43,2.29,0.0,0.0,0.0,0.0,0.0,49.0,4.43,8.29,9.71,48.9,1.43,0.0,0.0,55.4,0.29,0.86,0.86,0.29,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.86,0.86,0.43,0.14,0.86,0.86,100.0,0.0,4.57,2.29,50.0,2.43,1.86,0.29,1.14,0.43,0.0,0.71,0.86,2.29,5.0,0.0,70.6,10.4,39.4,38.1,2.14,0.29,69.3,0.0,0.14,0.0,0.0,0.0,47.3,398.7,260.7,3.86,0.29,0.0,0.14,0.0,51.3,51.3,100.0,0.0,0.14,0.0,0.0,0.71,1.0,0.0,0.0,0.86,0.0,0.0,0.0,8.71,2.86,1.0,74.1
50,51,Rubén Alcaraz,ESP,MF,Cádiz,La Liga,31,1991,3,1,132,1.5,0.0,2.67,0.0,0.0,0.0,0.0,21.0,0.67,0.0,0.0,35.3,41.3,85.5,754.0,161.3,14.0,15.3,91.3,14.0,16.7,84.0,7.33,8.67,84.6,0.0,0.0,6.0,0.67,0.0,1.33,41.3,40.7,0.67,0.67,0.0,4.0,1.33,0.0,0.0,0.0,0.0,0.0,32.0,1.33,8.0,4.0,33.3,3.33,0.0,0.0,35.3,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.33,0.0,2.0,0.0,0.67,3.33,20.0,2.67,22.7,8.67,38.2,7.33,10.7,4.67,0.0,0.0,0.0,0.0,1.33,3.33,0.67,0.0,55.3,2.67,14.7,34.7,11.3,2.0,54.0,0.0,0.67,0.0,0.0,0.0,35.3,206.7,107.3,5.33,1.33,0.67,4.67,1.33,34.7,33.3,96.2,0.0,0.67,0.0,0.0,2.0,2.0,0.0,0.0,1.33,0.0,0.0,0.0,14.7,2.0,0.67,75.0
